,0,1,2,3,4,5,6,7,8,9
206_city,-0.3730507,-0.03137656,0.75065374,-0.7194796,-0.59112746,-0.49692646,-0.5974106,-0.88715696,0.46633762,0.6852804
206_rural,-0.1020621,0.09406858,-0.6745991,-0.35408556,-0.3004379,-0.9085213,0.42079815,-0.32520473,-0.2930245,-0.27831668
206_town,-0.018752337,0.41450062,0.39632627,-1.31862,0.4242056,0.34830365,-1.2070236,-0.6298895,1.5205107,1.3621097
207_city,1.2260045,0.3282067,1.4627131,-0.72476894,-0.40167627,2.5209568,-1.3920133,-0.54767424,-0.7197013,2.127087
207_rural,1.0978528,0.35924843,-0.21515498,-1.4079763,0.17160425,2.2136097,-0.8255041,-0.293192,-0.37527817,-0.548516
207_town,0.8009248,1.5717093,-0.21712883,-0.91262156,0.57611656,1.387381,-1.7286298,-0.04447679,0.14270361,1.2664002
208_city,0.51728916,0.07580077,1.2209998,-0.66938233,-0.38476196,0.09540175,-0.54248613,-0.5931045,1.0614395,1.2453872
208_rural,0.7253541,0.30297613,-0.27546534,-1.1952301,0.7634305,0.954057,0.023044461,0.27373484,0.19103807,-0.57377696
208_town,-0.43894988,0.878656,-0.22341934,-0.8904136,-0.118442185,0.05622801,-1.1962545,-0.86185306,-0.10250312,0.21222357
214_city,-0.07895603,-0.94177467,0.84524876,0.32001436,-0.3327466,-1.572865,0.808807,-0.3076372,0.6352981,1.069627
214_rural,0.5279428,-0.3780285,-1.018459,-0.48045534,0.020196741,-0.1825975,0.78109765,0.63203216,-0.05140646,-1.4738679
214_town,0.18608235,0.55293536,-1.3935143,-0.24862531,0.4274653,-1.265172,-0.16677722,0.29005697,1.2594731,-0.50475264
217_city,-0.2916744,-0.3939214,1.2687298,0.37428424,-0.36481163,-1.9284139,0.95145917,0.45110756,-0.33016706,0.8326426
217_rural,-0.4387445,0.12998554,-0.6076212,-0.41623694,-0.21332082,-2.4195087,1.1646924,0.2657649,-0.21835648,-1.9190624
217_town,-0.075833045,-0.08941279,-1.4007425,-0.14176407,0.59119225,-1.5594904,0.6375987,0.09111813,1.1510409,0.44704807
218_city,-0.54609644,-0.32113278,-0.18941072,0.4630414,0.26903102,-1.811677,1.4219723,0.41204292,-0.07134174,0.13507658
218_rural,-1.0235846,-0.22695598,-2.3575957,0.6641479,-0.6349449,-2.4829254,1.4427594,-0.28784195,-1.2874317,-2.229836
218_town,-0.27610865,-0.5647407,-0.4236414,-0.04911225,0.7872563,0.31823424,-0.16856533,0.82812726,0.44542915,0.8121281
223_city,-0.57458645,-0.5512046,0.9849974,-0.6996814,-0.24740061,-1.7567198,0.5807456,-0.6822143,0.8754768,-0.6156059
223_rural,0.22020456,0.6507213,-0.15047134,-0.28387257,-0.09639074,-0.8129979,0.2736634,0.5359561,-0.9822527,-1.7638704
223_town,-0.20319562,0.413185,-0.7843167,-0.6205523,0.02651957,-1.2304004,0.11711543,0.07389459,0.3405798,-0.43255696
224_city,0.16021599,-0.70996046,0.6124579,-0.34674868,-0.43396667,-1.4354556,0.83614,-0.16523923,0.7803785,-0.2784215
224_rural,-0.0020606823,-0.7394912,-0.95844084,-1.3516076,0.19812796,-0.20124464,0.8033592,0.61774385,0.09198653,-1.4363165
224_town,0.013518533,0.18835999,-0.60394245,-0.18977809,0.38329807,-0.65721875,-0.74839014,0.090285465,1.9391167,0.8101715
225_city,-1.1620035,0.48961794,-3.842611,0.30686566,-2.4117725,-4.749873,2.6342309,-1.668689,-1.5601834,-3.7348287
226_city,0.33284813,1.1796168,4.685224,-0.313469,1.307492,-2.4580722,-1.2875863,1.6613649,0.027264766,1.5394062
226_rural,0.06541432,0.84400046,2.8679144,0.09472843,1.5374181,-1.0573493,-0.5608941,1.4071226,-0.6916102,1.1834927
