,0,1,2,3,4,5,6,7,8,9
199_rural,-2.721055,4.6434894,0.9577285,-1.3213061,-0.18050589,2.8455067,3.0994325,0.5086475,0.6989991,-0.8130216
199_town,-3.7977848,5.527551,1.0953705,-0.64398354,-0.25200835,3.1012883,4.031638,-0.19450468,1.515279,-0.19909857
19_city,-0.30744895,3.1027784,1.1169965,-0.1683316,-0.51409996,1.5609351,1.0839282,-0.544642,-0.34304684,-0.38849685
19_rural,-3.535403,4.582913,1.3248599,-0.47894657,-1.6164684,3.080929,2.507277,1.7381998,0.3943521,-0.68223155
203_city,-0.15506938,1.4353908,1.9858644,-2.151981,-1.6868583,0.5884847,0.1286095,-1.4895375,1.1144336,-0.33502096
203_rural,1.4570847,1.9169636,0.7047037,-2.8712423,0.686943,1.6646872,0.55123466,-1.436392,0.20938717,-1.4112473
203_town,-1.2421024,3.6513944,0.9525377,-2.167923,0.7274976,1.3532484,0.43626463,-1.9547738,1.3617249,-0.4201038
204_city,-4.7651668,6.5001082,2.4340553,-2.5601017,-1.6389507,3.9500566,4.53319,-0.29848045,1.8787775,-0.63486797
204_rural,1.1356995,1.8602257,1.0613931,-2.0452912,0.4570272,0.91964936,-0.06255769,-2.6074493,-0.3087426,-1.3201184
204_town,-3.9725206,5.882796,1.9273278,-2.9195569,-2.8944266,3.5851698,2.8405452,0.5653598,2.072886,-1.1078206
205_city,3.9986575,-0.99013263,0.8923352,-1.0745882,3.1847973,-1.0401167,-1.1344692,-5.4267473,-2.0148592,-0.34687287
205_rural,5.5088177,-1.1186757,0.054230314,-1.160729,4.759016,-1.2928276,-1.5015049,-5.7728534,-2.8555522,-1.1158761
205_town,-1.976131,3.4837694,0.0028359222,-1.9205928,-0.46513346,1.5516045,1.948621,-1.0570364,0.35235003,0.0598478
206_city,0.3112922,1.4548478,1.7848961,-2.0493312,-0.731728,-0.18259546,-0.98035747,-1.6502876,0.5846373,0.19715545
206_rural,-1.1440445,2.2905486,0.7463534,-1.977047,-0.23471616,1.7008171,1.0597141,-0.4536855,-0.029499969,-0.5458283
206_town,1.7243086,0.7006472,0.6797782,-1.8660884,0.3761387,-0.52680546,-1.7975864,-1.7954173,0.19187029,-0.72254217
207_city,3.8751667,-0.13723129,2.027451,-2.1585755,1.050479,0.044255663,-1.5147495,-4.6742167,-0.9899595,-0.5929582
207_rural,3.8383412,1.7731903,0.62888867,-1.442841,2.0182931,0.9533317,-1.4316243,-3.0428407,-2.6650653,-1.5450726
207_town,2.7538564,1.9359868,0.31160855,-1.5225058,1.0574777,1.046376,-1.7110435,-3.8751345,-0.5300238,-1.2862436
208_city,0.34848627,0.8079127,2.194419,-1.4490916,-0.71631783,0.14016554,-0.6346096,-2.9621136,-0.0996353,-0.22566435
208_rural,2.2057536,1.7207408,0.72901917,-1.8830738,1.1884209,1.1719823,0.19291694,-1.9535105,-0.93535215,-1.7396863
208_town,0.046059906,3.397036,0.7049688,-1.6027951,0.45171237,0.79764664,-0.47467834,-1.3970946,1.3574791,-0.9458597
214_city,0.9327468,-1.0287492,1.8698254,-1.8053557,-0.5451821,0.32580066,1.0828328,0.17465,0.9183552,-0.36828363
214_rural,0.119802594,0.5205271,0.72229856,-1.1217139,1.3065761,1.1973398,1.5970833,1.5704882,0.15513726,-1.8423499
214_town,-0.842433,0.70521975,0.013542123,-0.87211865,1.3468685,-0.17147933,0.048746813,0.24721941,1.5271661,-0.2464039
217_city,-1.6516995,-0.08859785,1.6451839,-1.3633342,-1.541812,-0.105535,0.8100823,2.0707424,0.42832187,-1.1599774
217_rural,-2.8558686,3.6028144,0.48354435,-0.9537371,-1.0249835,1.7065052,2.7468553,1.7783775,1.2044168,-1.3906447
217_town,-0.7268288,1.9172925,0.70166284,-0.77451867,1.8367431,-0.023415621,1.3820158,0.36821198,2.3202705,-1.2264965
218_city,-1.3191968,0.94254315,0.78009254,0.35044542,1.2350987,0.4209499,1.5024608,1.2978128,0.3577721,-0.09938504
218_rural,-4.431365,4.6907067,1.3885897,0.044079423,0.046520997,2.5498145,4.8603854,1.2713147,1.8629069,-0.49728408
